	Chemical Name	CAS Number	U.S. EPA PC Code	CA Chem Code	Use Type	Chemical Class	U.S. EPA Registered	WHO 1a	WHO 1b	Rotterdam Annex III	Stockholm Annex A	Stockholm Annex B
138	Tributyltin oxide	56-35-9	083001, 883001, 083001, 883001	569	Antifoulant, Microbiocide, Molluscicide, Fungicide	Organotin, Heavy metal	False	False	False	True	False	False
139	Tributyltin resinate	13387-91-2, 26239-64-5	083114, 083114	1732	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
140	Tributyltin sulfide	4808-30-4	083113, 083113	1352, 1886	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
141	α-Hexachlorocyclohexane	319-84-6					False	False	False	False	True	False
142	β-Hexachlorocyclohexane	319-85-7					False	False	False	False	True	False
143	Chlordecone	143-50-0					False	False	False	False	True	False
144	Decabromodiphenyl ether	1163-19-5					False	False	False	False	True	False
145	DDT	50-29-3					False	False	False	False	False	True
146	Dicofol	115-32-2					False	False	False	False	True	False
147	Endosulfan	115-29-7, 959-98-8, 33213-65-9					False	False	False	False	True	False
148	Endrin	72-20-8					False	False	False	False	True	False
149	Hexabromobiphenyl	36355-01-8					False	False	False	False	True	False
150	Hexabromocyclododecane	25637-99-4, 3194-55-6, 134237-50-6, 134237-51-7, 134237-52-8					False	False	False	False	True	False
151	Hexabromdiphenylether und Heptabromdiphenylether	various					False	False	False	False	True	False
152	Hexachlorobutadiene	87-68-3					False	False	False	False	True	False
153	Mirex	2385-85-5					False	False	False	False	True	False
154	Pentachlorobenzene	608-93-5					False	False	False	False	True	False
155	Pentachlorophenol and its salts and esters	various					False	False	False	False	True	False
156	Perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds	various					False	False	False	False	True	False
157	Perfluorooctane sulfonic acid (PFOS), its salts and perfluorooctane sulfonyl fluoride	various					False	False	False	False	False	True
158	Polychlorinated biphenyls (PCBs)	various					False	False	False	False	True	False
159	Polychlorinated naphthalenes	various					False	False	False	False	True	False
160	Tetrabromodiphenyl ether and pentabromodiphenyl ether	various					False	False	False	False	True	False
161	Short-chain chlorinated paraffins (C10–13; chlorine content > 48%)	85535-84-8, 68920-70-7, 71011-12-6, 85536-22-7, 85681-73-8, 108171-26-2					False	False	False	False	True	False
